number,name,link,tob,cate,season,situation,gender,tag,attr,nouns
0,커버낫(COVERNAT) 에센셜 쿨 코튼 2-PACK 티셔츠,https://store.musinsa.com/app/goods/1848166,top,short sleeve t-shirt,summer,casual,공용,반팔티셔츠 티셔츠 반팔 반팔티 오버핏반팔 남자반팔티 에센셜라인 쿨코튼 썸머컬렉션 로고티셔츠,Female,커버 낫 에센셜 쿠 코트 티셔츠 반팔 티셔츠 티셔츠 반팔 반팔 티 남자 반팔 티 에센셜 라인 쿠 코트 로고 티셔츠 
1,무신사 스탠다드(MUSINSA STANDARD) 레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트],https://store.musinsa.com/app/goods/2086653,top,short sleeve t-shirt,summer,casual,남,레귤러핏 베이직티 무지티 기본티셔츠 라운드넥 MU-T 무탠픽업 무지,Blouses Cotton Male Round Neck Short Sleeves T-Shirts White,신사 레이어 드 크루 반팔 티셔츠 일반 기장 베이직 티 무지 티 기본 티셔츠 무태 픽업 무지 
2,무신사 스탠다드(MUSINSA STANDARD) 릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],https://store.musinsa.com/app/goods/996177,top,short sleeve t-shirt,summer,casual,남,기본티 라운드넥 루즈핏 면티셔츠 무지티 반팔티 MU-T 홈웨어컬렉션 유아인착장상품 베이식,Female Long Sleeved Round Neck Short Sleeves,신사 릴 렉스 크루 반팔 티셔츠 화이트 기본 티 면 티셔츠 무지 티 반팔 티 홈 웨어 컬렉션 유아인 착 장 상품 베이식 
3,이벳필드(EBBETSFIELD) 쿨코튼 2-PACK 베츠 기본 반팔 티셔츠 블랙/화이트,https://store.musinsa.com/app/goods/1939099,top,short sleeve t-shirt,summer,casual,남,반팔 라운드티 반팔티셔츠 오버핏티셔츠 반팔티 오버핏반팔 베츠 로고/레터링,,쿠 코트 기본 반팔 티셔츠 블랙 화이트 반팔 라운드 티 반팔 티셔츠 반팔 티 로고 레터 링 
4,무신사 스탠다드(MUSINSA STANDARD) 쿨탠다드 릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],https://store.musinsa.com/app/goods/2411265,top,short sleeve t-shirt,summer,casual,남,라운드넥 여름티 아스킨 기능성 무지티 베이직티 쿨탠다드 MU-T,Cotton Male Round Neck Short Sleeves T-Shirts,신사 쿠 태 다 드 릴 렉스 크루 반팔 티셔츠 여름 티 아스키 기능 무지 티 베이직 티 쿠 태 다 드 
5,트래블(TRAVEL) 미시간 울버린 피그먼트  반팔티 블랙차콜,https://store.musinsa.com/app/goods/1884943,top,short sleeve t-shirt,summer,casual,공용,라운드티 반팔 반팔티 반팔티셔츠 티셔츠 그래픽티셔츠 그래픽,Female,트래블 미시간 울버린 피 반팔 티 블랙 차 콜 라운드 티 반팔 반팔 티 반팔 티셔츠 티셔츠 그래픽 티셔츠 그래픽 
6,무신사 스탠다드(MUSINSA STANDARD) 쿨탠다드 릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],https://store.musinsa.com/app/goods/2411266,top,short sleeve t-shirt,summer,casual,남,기능성 쿨탠다드 MU-T 라운드넥 여름티 아스킨 무지티 베이직티,Blouses Chiffon Female Long Sleeved Round Neck Short Sleeves,신사 쿠 태 다 드 릴 렉스 크루 반팔 티셔츠 화이트 기능 쿠 태 다 드 여름 티 아스키 무지 티 베이직 티 
7,그루브라임(GROOVE RHYME) [패키지] NYC LOCATION T-SHIRT (16COLOR) [LRQMCTA401M],https://store.musinsa.com/app/goods/1420730,top,short sleeve t-shirt,summer,casual,공용,로고 맨투맨 반팔티 오버사이즈 오버핏 티셔츠 패키지,Female,패키지 로고 맨투맨 반팔 티 오버 사이즈 티셔츠 패키지 
8,무신사 스탠다드(MUSINSA STANDARD) 레이어드 크루 넥 반팔 티셔츠_긴 기장 [화이트],https://store.musinsa.com/app/goods/1382658,top,short sleeve t-shirt,summer,casual,남,기본티셔츠 라운드넥 MU-T 레귤러핏 베이직티 무지티 무탠픽업,Female Round Neck Short Sleeves,신사 레이어 드 크루 반팔 티셔츠 기장 화이트 기본 티셔츠 베이직 티 무지 티 무태 픽업 
9,마르디 메크르디(MARDI MERCREDI) TSHIRT FLOWERMARDI_WHITE GREEN,https://store.musinsa.com/app/goods/1503352,top,short sleeve t-shirt,summer,casual,여,그래픽 티셔츠 우먼티셔츠,Female Printed Round Neck Short Sleeves T-Shirts,그래픽 티셔츠 우먼 티셔츠 
10,무신사 스탠다드(MUSINSA STANDARD) 우먼즈 베이식 크루 넥 반팔 티셔츠 [화이트],https://store.musinsa.com/app/goods/1417691,top,short sleeve t-shirt,summer,casual,여,기본티 라운드넥 무신사스탠다드우먼즈 무지티 여름티 MU-T 반소매,Female Round Neck Short Sleeves,신사 베이식 크루 반팔 티셔츠 화이트 기본 티 무지 티 여름 티 반소매 
11,무신사 스탠다드(MUSINSA STANDARD) 릴렉스 핏 크루 넥 반팔 티셔츠 2팩,https://store.musinsa.com/app/goods/2034137,top,short sleeve t-shirt,summer,casual,남,MU-T 기본티 무지티 라운드넥 면티셔츠 반팔티 홈웨어컬렉션 세트상품 무지,Female Short Sleeves,신사 릴 렉스 크루 반팔 티셔츠 팩 기본 티 무지 티 면 티셔츠 반팔 티 홈 웨어 컬렉션 세트 상품 무지 
12,무신사 스탠다드(MUSINSA STANDARD) 릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],https://store.musinsa.com/app/goods/996178,top,short sleeve t-shirt,summer,casual,남,기본티 라운드넥 루즈핏 면티셔츠 무지티 반팔티 MU-T 홈웨어컬렉션,Male Round Neck Short Sleeves,신사 릴 렉스 크루 반팔 티셔츠 블랙 기본 티 면 티셔츠 무지 티 반팔 티 홈 웨어 컬렉션 
13,예일(YALE) [ONEMILE WEAR] 2PACK SMALL ARCH TEE WHITE / BLACK,https://store.musinsa.com/app/goods/2442409,top,short sleeve t-shirt,summer,casual,남,반팔티 로고 여름반팔티 남자반팔티 반팔티셔츠 티셔츠 원마일웨어,Cotton Male Short Sleeves,예일 반팔 티 로고 여름 반팔 티 남자 반팔 티 반팔 티셔츠 티셔츠 원 마일 웨어 
14,마르디 메크르디(MARDI MERCREDI) TSHIRT FLOWERMARDI_IVORY NAVY,https://store.musinsa.com/app/goods/2453556,top,short sleeve t-shirt,summer,casual,여,그래픽 우먼티셔츠,Female,그래픽 우먼 티셔츠 
15,리(LEE) 빅 트위치 로고 티셔츠 화이트,https://store.musinsa.com/app/goods/903340,top,short sleeve t-shirt,summer,casual,남,로고 반팔티 빅로고 LEE반팔티 트위치 남녀공용 그래픽,Cotton Printed Round Neck Short Sleeves T-Shirts White,리 빅 로고 티셔츠 화이트 로고 반팔 티 빅 로고 반팔 티 남녀 공용 그래픽 
16,마인드브릿지(MINDBRIDGE) 고밀도순면기본반팔티셔츠_3팩 MATS0101,https://store.musinsa.com/app/goods/1685307,top,short sleeve t-shirt,summer,casual,남,기본티셔츠 무지반팔티 이너티셔츠 레이어드반팔 반팔티 2PACK패키지 레이어드티,Blouses Female Long Sleeved White,밀도 순 면 기본 반팔 티셔츠 팩 기본 티셔츠 지반 팔 티 티셔츠 레이어 드 반팔 반팔 티 패키지 레이어 드 티 
17,예일(YALE) (22SS) 2 TONE ARCH TEE WHITE,https://store.musinsa.com/app/goods/1841764,top,short sleeve t-shirt,summer,casual,남,그래픽티셔츠 오버핏반팔 반팔티 로고 아이비리그 그래픽,Female Short Sleeves,예일 그래픽 티셔츠 반팔 티 로고 아이비리그 그래픽 
18,무신사 스탠다드(MUSINSA STANDARD) [쿨탠다드] 릴렉스 핏 크루 넥 반팔 티셔츠 2팩,https://store.musinsa.com/app/goods/2035287,top,short sleeve t-shirt,summer,casual,남,쿨탠다드 MU-T 베이직티 여름티 무지티 기능성 아스킨 라운드넥 세트상품 무지,Female,신사 쿠 태 다 드 릴 렉스 크루 반팔 티셔츠 팩 쿠 태 다 드 베이직 티 여름 티 무지 티 기능 아스키 세트 상품 무지 
